config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,lab_depth_collapse,knn,auc,0.5475,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,lab_spread_widen,logistic,auc,0.6842,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,lab_spread_widen,knn,auc,0.6748,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,lab_vol_spike,logistic,auc,0.7154,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,lab_vol_spike,knn,auc,0.7576,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_fwdvol,ridge,r2,0.0293,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_fwdvol,knn,r2,0.3758,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_curvol,ridge,r2,0.0269,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_curvol,knn,r2,0.4299,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_relspread,ridge,r2,0.2492,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_relspread,knn,r2,0.5691,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_intraday,ridge,r2,0.04,1.6,6400,2026-06-03 14:08:13
B|5s|NVDA|nc2|Diffusion_a1.0,5s,full,19,sym:NVDA,Diffusion_a1.0,2,reg_intraday,knn,r2,0.2126,1.6,6400,2026-06-03 14:08:13
